batter,wpa,runs_total,balls_faced,wpa_per_100_balls
S Dhawan,32.00743566961889,7072,5444,0.587939670639583
RG Sharma,24.917487974683546,7271,5424,0.45939321487248425
JC Buttler,24.385511235955054,4311,2847,0.8565335874940306
MS Dhoni,23.956895575117372,5718,4101,0.5841720452357321
KD Karthik,22.184561625843205,4951,3605,0.6153831241565383
SS Iyer,21.866054323425793,3756,2801,0.7806517073697177
SV Samson,20.718,4790,3421,0.6056123940368313
V Kohli,20.210791757988638,8840,6578,0.3072482784735275
Shubman Gill,16.917875000000002,3959,2825,0.5988628318584072
KA Pollard,15.999217043783249,3503,2375,0.6736512439487684
