bowler,wpa,runs_conceded,wickets_taken,balls_bowled,wpa_per_100_balls
YS Chahal,22.948242817826326,5037,224,3861,0.5943600833417851
PP Chawla,16.97599805694271,5089,199,3829,0.4433533052217997
HV Patel,16.228764410200604,3540,163,2494,0.6507122858941702
TA Boult,15.793949295774647,3708,148,2732,0.5781094178541233
R Ashwin,15.224751592580384,5659,202,4813,0.31632560965261547
JJ Bumrah,14.965324183497687,3997,191,3350,0.44672609502978167
Rashid Khan,13.271509199929485,3761,164,3152,0.4210504187794888
UT Yadav,12.643291198701357,4395,160,3154,0.4008652884813366
JD Unadkat,10.951792801895763,3326,115,2259,0.48480711827781153
SN Thakur,10.439588863636363,3284,115,2205,0.47345074211502775
